charge,line,phase,repl,compound,is_standard,was_imputed,peak_area,n_peak_area
negative,am1,e,r2,Phenylpropanolamine,FALSE,FALSE,32023.7727760299,3.2874896645681433e-5
negative,am1,e,r2,Acetyl-Phenylalanine,FALSE,FALSE,27440.244483399907,2.8169547905337034e-5
negative,am1,e,r2,2-hydroxy pyridine,FALSE,FALSE,49027.9695912996,5.033102889950639e-5
negative,am1,e,r2,Phenyllactic acid,FALSE,FALSE,124824.033642266,1.281415913604697e-4
negative,am1,e,r2,Hydroxyoctanoic acid,FALSE,FALSE,472554.83546627406,4.851143394009776e-4
negative,am1,e,r2,Cresol,FALSE,FALSE,29251.63828577701,3.002908470801971e-5
negative,am1,e,r2,Hydroxyphenyl pyruvate,FALSE,FALSE,79789.24686645184,8.190987559513143e-5
negative,am1,e,r2,3-Phenylbutyric acid,FALSE,FALSE,133417.4896861181,1.3696344321554855e-4
negative,am1,e,r2,Pyridoxic acid,FALSE,FALSE,24766.668124715387,2.5424913565067165e-5
negative,am1,e,r2,2 3-dihydroxybenzoic acid,FALSE,FALSE,298125.23574072606,3.0604877136093726e-4
negative,am1,e,r2,5- Methylthioadenosine,FALSE,FALSE,159708.552409902,1.6395326655068267e-4
negative,am1,e,r2,Methylphenyllactate,FALSE,FALSE,198069.98928787294,2.0333426895047154e-4
negative,am1,e,r2,Phenyl-pyruvate,FALSE,FALSE,247689.17792992812,2.5427223024749657e-4
negative,am1,e,r2,Undecanoic acid,FALSE,FALSE,151363.9956510119,1.553869291949583e-4
negative,am1,e,r2,6-Phosphogluconate,FALSE,FALSE,143262.62967626489,1.470702461179412e-4
negative,am1,e,r2,CDP,FALSE,FALSE,142348.5084117461,1.4613182945158362e-4
negative,am1,e,r2,Carbamoyl phosphate,FALSE,FALSE,1831926.2419146092,0.0018806149508571617
negative,am1,e,r2,Citrulline,FALSE,FALSE,351483.3972776931,3.6082507951174826e-4
negative,am1,e,r2,Cytosine,FALSE,FALSE,52544.32825274989,5.394084490628409e-5
negative,am1,e,r2,N-acetyl-glutamine,FALSE,FALSE,218301.93680196317,2.2410393866173113e-4
negative,am1,e,r2,Orotate,FALSE,FALSE,837612.3817003233,8.598743399201381e-4
negative,am1,e,r2,Phosphoenolpyruvate,FALSE,FALSE,4059150.5969220297,0.004167034199135714
negative,am1,e,r2,Thymine,FALSE,FALSE,22275.3745762811,2.2867406725019458e-5
negative,am1,e,r2,UDP,FALSE,FALSE,350386.2666664561,3.596987894989043e-4
negative,am1,e,r2,Xylose-5-phosphate,FALSE,FALSE,132320.1428437891,1.3583693122464933e-4
negative,am1,e,r2,Ribulose-5-phosphate,FALSE,FALSE,370297.25804660696,3.8013897274381743e-4
negative,am1,e,r2,Succinyl-CoA,FALSE,FALSE,211711.10068868907,2.1733793212190541e-4
negative,am1,e,r2,Coenzyme A,FALSE,FALSE,663336.6606688304,6.809667403430398e-4
negative,am1,e,r2,Acetyl CoA,FALSE,FALSE,1202238.48636185,0.0012341914320660558
negative,am1,e,r2,Propionyl CoA,FALSE,FALSE,4869.627974597158,4.9990523442518424e-6
negative,am1,e,r2,Butyryl CoA,FALSE,FALSE,9655.911837233614,9.912545467049771e-6
negative,am1,e,r2,Itaconic acid,FALSE,FALSE,346257.8442770172,3.554606424101231e-4
negative,am1,e,r2,NegIS_Alanine-2H4-15N,TRUE,FALSE,81737594.52287707,0.08391000619444602
